Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,gX,gY
Andover New Street,24:26,8,Williams,Shot,101,23,104,28,Right,Blocked,,,,,,,,
Andover New Street,24:32,6,Thatcher,Defensive Duel,70,19,0,0,,,,,,,,,,
Andover New Street,24:35,6,Thatcher,Defensive Duel,66,5,0,0,,Lost,,,,,true,,,
Andover New Street,24:49,2,Kaba,Interception,17,54,0,0,,,,,,,,,,
Andover New Street,24:50,10,Hibberd,Interception,24,52,0,0,,,,,,,,,,
Andover New Street,24:56,8,Williams,Pressure,30,26,0,0,,,,,,,,,,
Andover New Street,24:59,1,Fredricks,Interception,11,41,0,0,,,,,,,,,,
Andover New Street,25:18,1,Fredricks,Long Kick,16,52,74,65,,Complete,,,,,,,,
Andover New Street,25:21,10,Hibberd,Air Duel,73,61,0,0,,Lost,,,,,,,,
Andover New Street,25:28,5,Scott,Pass,56,56,79,52,,Complete,,,,,,,,
Andover New Street,25:31,8,Williams,Pass,76,56,87,71,,Complete,,,,,,,,
Andover New Street,25:34,10,Hibberd,Offensive Duel,91,69,0,0,,Lost,,,,,true,,,
Andover New Street,25:36,10,Hibberd,Defensive Duel,91,70,0,0,,,,,,,,,,
Andover New Street,25:37,10,Hibberd,Foul,91,71,0,0,,,,,,,,,,
Andover New Street,26:05,5,Scott,Air Duel,32,31,0,0,,Won,,,,,,,,
Andover New Street,26:07,7,Locker,Long Kick,26,27,76,46,,Incomplete,,,,,,,,
Andover New Street,26:12,6,Thatcher,Air Duel,55,33,0,0,,Lost,,,,,,,,
Andover New Street,26:28,2,Kaba,Long Kick,7,42,40,38,,,,,,true,,,,
Andover New Street,26:33,8,Williams,Offensive Duel,34,33,0,0,,Won,,,,,,,,
Andover New Street,26:36,8,Williams,Pass,37,43,49,58,,Complete,,,,,,,,
Andover New Street,26:38,10,Hibberd,Touch,48,59,0,0,,Bad,,,,,,,,
Andover New Street,26:43,10,Hibberd,Interception,71,69,0,0,,,,,,,,,,
Andover New Street,26:42,10,Hibberd,Pressure,70,66,0,0,,,,,,,,,,
Andover New Street,26:46,8,Williams,Offensive Duel,66,47,0,0,,Won,,,,,true,,,
Andover New Street,27:33,7,Locker,Free Kick,65,45,106,23,,,,,,,,,,
Andover New Street,27:37,5,Scott,Air Duel,103,22,0,0,,Lost,,,,,,,,
Andover New Street,28:12,10,Hibberd,Corner,116,2,113,33,,,,,,,,,,
Andover New Street,28:17,7,Locker,Pass,86,18,104,5,,Complete,,,,,,,,
Andover New Street,28:22,10,Hibberd,Offensive Duel,105,11,0,0,,Won,,,,,true,,,
Andover New Street,28:23,10,Hibberd,Cross,114,13,112,36,Right,,,,,,,,,
Andover New Street,28:27,4,Carswell,Air Duel,82,36,0,0,,Won,,,,,,,,
Andover New Street,28:31,8,Williams,Shot,90,46,118,45,Right,Off Target,,,,,,,114,21
Andover New Street,29:00,2,Kaba,Offensive Duel,16,69,0,0,,Won,,,,,,,,
Andover New Street,29:02,2,Kaba,Pass,15,73,31,64,,Incomplete,,,,,,,,
Andover New Street,29:05,6,Thatcher,Defensive Duel,30,47,0,0,,,,,,,,,,
Andover New Street,29:16,7,Locker,Interception,10,11,0,0,,,,,,,,,,
Andover New Street,29:41,10,Hibberd,Interception,4,34,0,0,,,,,,,,,,
Andover New Street,29:42,10,Hibberd,Head Pass,5,34,23,39,,,,,,true,,,,
Andover New Street,29:44,4,Carswell,Long Kick,23,39,50,26,,Incomplete,,,,,,,,
Andover New Street,29:46,9,Moore,Offensive Duel,50,28,0,0,,Won,,,,,,,,
Andover New Street,29:47,9,Moore,Pass,51,30,71,20,,Incomplete,,,true,,,,,
Andover New Street,30:02,3,Quashie,Head Pass,33,23,58,15,,Incomplete,,,,,,,,
Andover New Street,30:38,3,Quashie,Throw In,42,2,47,16,,Complete,,,,,,,,
Andover New Street,30:39,4,Carswell,Pass,44,17,36,7,,Complete,,,,,,,,
Andover New Street,30:40,3,Quashie,Long Kick,41,5,16,51,,Complete,,,,,,,,
Andover New Street,30:46,1,Fredricks,Long Kick,15,49,41,78,,,,,,true,,,,
Andover New Street,31:00,2,Kaba,Air Duel,27,60,0,0,,Lost,,,,,,,,
Andover New Street,31:02,5,Scott,Long Kick,12,53,15,78,,Incomplete,,,,true,,,,
Andover New Street,31:30,4,Carswell,Head Pass,12,40,26,33,,,,,,true,,,,
Andover New Street,31:32,8,Williams,Air Duel,26,34,0,0,,Lost,,,,,,,,
Andover New Street,31:33,5,Scott,Air Duel,10,37,0,0,,Won,,,,true,,,,
Andover New Street,31:41,2,Kaba,Pass,8,46,34,75,,,,,,true,,,,
Andover New Street,31:42,2,Kaba,Interception,8,46,0,0,,,,,,,,,,
Andover New Street,31:46,9,Moore,Pressure,45,75,0,0,,,,,,,,,,
Andover New Street,31:56,8,Williams,Pressure,58,14,0,0,,,,,,,,,,
Andover New Street,31:59,5,Scott,Air Duel,24,28,0,0,,Won,,,,,,,,
Andover New Street,31:59,6,Thatcher,Long Kick,30,33,58,41,,Incomplete,,,,,,,,
Andover New Street,32:06,11,Taylor Kelly,Pressure,31,74,0,0,,,,,,,,,,
Andover New Street,32:14,1,Fredricks,Touch,4,32,0,0,,,,,,,,,,
Andover New Street,32:30,1,Fredricks,Long Kick,16,32,86,28,,Incomplete,,,true,,,,,
Andover New Street,32:38,10,Hibberd,Pass,87,16,105,11,,Complete,,,,,,,,
Andover New Street,32:39,8,Williams,Carry,102,8,114,26,,Complete,,,,,,,,
Andover New Street,32:42,8,Williams,Cross,116,25,116,38,Left,,,,,,,,,
Andover New Street,32:53,2,Kaba,Defensive Duel,28,61,0,0,,,,,,,,,,
Andover New Street,32:56,2,Kaba,Offensive Duel,8,65,0,0,,Won,,,,,true,,,
Andover New Street,33:00,2,Kaba,Offensive Duel,23,68,0,0,,Won,,,,,true,,,
Andover New Street,33:01,2,Kaba,Pass,27,63,36,76,,Complete,,,,,,,,
Andover New Street,33:04,11,Taylor Kelly,Pass,38,76,29,69,,Complete,,,,,,,,
Andover New Street,33:07,2,Kaba,Long Kick,32,67,77,20,,Bad,,,,,,,,
Andover New Street,33:24,3,Quashie,Long Kick,22,12,48,6,,Incomplete,,,,,,,,
Andover New Street,33:28,10,Hibberd,Interception,43,10,0,0,,,,,,,,,,
Andover New Street,33:46,7,Locker,Head Pass,14,12,32,11,,Complete,,,,,,,,
Andover New Street,33:47,3,Quashie,Pass,28,16,39,7,,Incomplete,,,,,,,,
Andover New Street,33:49,10,Hibberd,Offensive Duel,34,10,0,0,,Lost,,,,,,,,
Andover New Street,33:50,3,Quashie,Long Kick,28,17,29,1,,,,,,true,,,,
Andover New Street,34:05,5,Scott,Interception,14,22,0,0,,,,,,,,,,
Andover New Street,34:06,5,Scott,Head Pass,16,24,19,1,,,,,,true,,,,
Andover New Street,34:19,6,Thatcher,Interception,25,22,0,0,,,,,,,,,,
Andover New Street,34:20,6,Thatcher,Head Pass,25,23,48,26,,Complete,,,,,,,,
Andover New Street,34:23,9,Moore,Offensive Duel,49,29,0,0,,Won,,,,,,,,
Andover New Street,34:25,9,Moore,Long Kick,52,21,92,51,,Complete,true,,true,,,,,
Andover New Street,34:28,8,Williams,Touch,92,51,0,0,,,,,,,,,,
Andover New Street,34:30,9,Moore,Shot,102,47,117,34,Right,Off Target,,,,,,,8,75
Andover New Street,35:03,11,Taylor Kelly,Pressure,68,74,0,0,,,,,,,,,,
Andover New Street,35:09,2,Kaba,Offensive Duel,29,71,0,0,,Won,,,,,,,,
Andover New Street,35:34,6,Thatcher,Air Duel,11,38,0,0,,,,,,true,,,,
Andover New Street,35:36,4,Carswell,Air Duel,24,46,0,0,,Won,,,,,,,,
Andover New Street,35:38,8,Williams,Offensive Duel,46,60,0,0,,Won,,,,,true,,,
Andover New Street,36:35,1,Fredricks,Free Kick,36,61,93,25,,,,,,,,,,
Andover New Street,36:46,5,Scott,Pass,27,26,17,24,,Incomplete,,,,,,,,
Andover New Street,36:49,5,Scott,Defensive Duel,10,24,0,0,,,,,,,,,,
Andover New Street,36:53,5,Scott,Defensive Duel,6,21,0,0,,,,,,,,,,
Andover New Street,36:57,5,Scott,Defensive Duel,6,8,0,0,,,,,,,,,,
Andover New Street,37:36,5,Scott,Foul,7,8,0,0,,Yellow Card,,,,,,,,
Andover New Street,38:10,10,Hibberd,Interception,14,28,0,0,,,,,,,,,,
Andover New Street,38:11,4,Carswell,Long Kick,15,43,28,34,,,,,,true,,,,
Andover New Street,38:13,7,Locker,Air Duel,27,33,0,0,,Won,,,,,,,,
Andover New Street,38:16,11,Taylor Kelly,Pass,26,64,67,70,,Complete,,,,,,,,
Andover New Street,38:26,9,Moore,Long Kick,86,71,112,58,,Complete,,,,,,,,
Andover New Street,38:27,4,Carswell,Cross,111,62,108,47,Right,,,,,,,,,
Andover New Street,38:33,6,Thatcher,Pass,62,75,69,66,,Incomplete,,,,,,,,
Andover New Street,38:39,5,Scott,Interception,45,63,0,0,,,,,,,,,,
Andover New Street,38:41,5,Scott,Pass,50,59,39,32,,Complete,,,,,,,,
Andover New Street,38:44,3,Quashie,Offensive Duel,37,34,0,0,,Won,,,,,true,,,
Andover New Street,38:46,3,Quashie,Pass,44,25,52,11,,Complete,,,,,,,,
Andover New Street,38:49,7,Locker,Touch,54,8,0,0,,,,,,,,,,
Andover New Street,38:50,7,Locker,Long Kick,69,14,103,34,,Incomplete,,,true,,,,,
Andover New Street,39:06,4,Carswell,Interception,49,49,0,0,,,,,,,,,,
Andover New Street,39:07,4,Carswell,Pass,48,45,73,64,,Incomplete,,,,,,,,
Andover New Street,39:10,6,Thatcher,Defensive Duel,67,54,0,0,,,,,,,,,,
Andover New Street,39:12,6,Thatcher,Pass,65,54,73,41,,Complete,,,,,,,,
Andover New Street,39:13,10,Hibberd,Pass,69,40,85,44,,Incomplete,,,,,,,,
