Team,Time,Jersey,Player,Event,X,Y,endX,endY,Foot,Outcome,Key Pass,Assist,Through Pass,Clearance,Take On,Hand Foul,Goal Area
Sudeva Delhi FC,37:58,21,Macdonnish Ngairangbam ,Goal Kick,8,38,6,49,,,,,,,,,
Sudeva Delhi FC,37:59,26,Loushambam Nara Meitei,Long Kick,5,46,81,70,,Incomplete,,,,,,,
Sudeva Delhi FC,38:01,11,Langam Ratip Meitei,LBD,86,68,0,0,,Won,,,,,,,
Sudeva Delhi FC,38:35,26,Loushambam Nara Meitei,Throw In,45,79,80,72,,,,,,,,,
Sudeva Delhi FC,38:36,11,Langam Ratip Meitei,LBD,75,69,0,0,,Lost,,,,,,,
Sudeva Delhi FC,38:37,26,Loushambam Nara Meitei,Long Kick,56,74,118,42,,Incomplete,,,true,,,,
Sudeva Delhi FC,38:56,16,Dikshit Rai ,Pressure,68,35,0,0,,,,,,,,,
Sudeva Delhi FC,38:59,26,Loushambam Nara Meitei,Interception,29,23,0,0,,,,,,,,,
Sudeva Delhi FC,39:24,21,Macdonnish Ngairangbam ,Goal Kick,8,43,4,52,,,,,,,,,
Sudeva Delhi FC,39:25,26,Loushambam Nara Meitei,Long Kick,7,46,68,40,,Incomplete,,,,,,,
Sudeva Delhi FC,39:41,11,Langam Ratip Meitei,Throw In,75,79,104,46,,,,,,,,,
Sudeva Delhi FC,39:50,26,Loushambam Nara Meitei,Defensive Duel,24,67,0,0,,Won,,,,,true,,
Sudeva Delhi FC,40:22,21,Macdonnish Ngairangbam ,Goal Kick,10,49,5,26,,,,,,,,,
Sudeva Delhi FC,40:23,16,Dikshit Rai ,Long Kick,5,27,52,42,,Incomplete,,,,,,,
Sudeva Delhi FC,40:28,26,Loushambam Nara Meitei,Touch,17,46,0,0,,Bad,,,,,,,
Sudeva Delhi FC,40:30,21,Macdonnish Ngairangbam ,Save,3,40,0,0,Left,Goal,,,,,,,Bottom right
Sudeva Delhi FC,40:50,9,Asem Rahulkumar Singh,Pass,60,40,45,51,,Complete,,,,,,,
Sudeva Delhi FC,40:51,26,Loushambam Nara Meitei,Pass,45,44,66,44,,Incomplete,,,,,,,
Sudeva Delhi FC,41:06,21,Macdonnish Ngairangbam ,Goal Kick,10,46,43,5,,,,,,,,,
Sudeva Delhi FC,41:08,9,Asem Rahulkumar Singh,Pass,46,9,35,28,,Complete,,,,,,,
Sudeva Delhi FC,41:10,16,Dikshit Rai ,Pass,38,13,41,57,,Incomplete,,,,,,,
Sudeva Delhi FC,41:14,21,Macdonnish Ngairangbam ,Save,4,41,0,0,Right,Saved,,,,,,,Bottom left
Sudeva Delhi FC,41:19,21,Macdonnish Ngairangbam ,Hand Pass,18,42,14,18,,Complete,,,,,,,
Sudeva Delhi FC,41:19,16,Dikshit Rai ,Long Kick,15,22,77,53,,Complete,,,,,,,
Sudeva Delhi FC,41:23,17,Heikham Lineker Singh,Air Duel,72,52,0,0,,Lost,,,,,,,
